3K_DNA_IRIS_UNIQUE_ID;TYPE
IRIS-313-10797;ind3
IRIS-313-10798;trop1
IRIS-313-10799;trop1
IRIS-313-10800;trop1
IRIS-313-10801;trop1
IRIS-313-10802;trop1
IRIS-313-10803;trop1
IRIS-313-10804;ind3
IRIS-313-10805;trop1
IRIS-313-10806;ind3
IRIS-313-10807;ind3
IRIS-313-10808;trop1
IRIS-313-10809;trop1
IRIS-313-10810;ind3
IRIS-313-10811;indx
IRIS-313-10812;ind3
IRIS-313-10813;ind3
IRIS-313-10814;ind3
IRIS-313-10815;trop1
IRIS-313-10816;trop1
IRIS-313-10817;trop1
IRIS-313-10818;ind3
IRIS-313-10819;ind3
IRIS-313-10820;ind3
IRIS-313-10821;ind3
IRIS-313-10822;ind3
IRIS-313-10823;ind3
IRIS-313-10824;ind3
IRIS-313-10825;indx
IRIS-313-10827;trop1
IRIS-313-10828;trop1
IRIS-313-10829;trop1
IRIS-313-10830;trop1
IRIS-313-10831;trop1
IRIS-313-10832;trop1
IRIS-313-10833;ind2
IRIS-313-10834;trop2
IRIS-313-10835;ind2
IRIS-313-10836;ind2
IRIS-313-10837;temp
IRIS-313-10838;temp
IRIS-313-10839;temp
IRIS-313-10840;temp
IRIS-313-10841;trop1
IRIS-313-10842;ind3
IRIS-313-10844;ind3
IRIS-313-10845;aus
IRIS-313-10847;indx
IRIS-313-10848;trop2
IRIS-313-10849;aus
IRIS-313-10850;admix
IRIS-313-10851;aro
IRIS-313-10852;aus
IRIS-313-10853;japx
IRIS-313-10854;aus
IRIS-313-10855;ind2
IRIS-313-10856;admix
IRIS-313-10857;admix
IRIS-313-10858;indx
IRIS-313-10859;indx
IRIS-313-10861;aus
IRIS-313-10862;japx
IRIS-313-10863;ind2
IRIS-313-10864;admix
IRIS-313-10865;trop2
IRIS-313-10866;trop2
IRIS-313-10867;trop2
IRIS-313-10868;aro
IRIS-313-10869;aus
IRIS-313-10870;trop2
IRIS-313-10871;aus
IRIS-313-10872;japx
IRIS-313-10873;aus
IRIS-313-10874;trop2
IRIS-313-10875;aus
IRIS-313-10876;aus
IRIS-313-10877;aus
IRIS-313-10878;aus
IRIS-313-10879;admix
IRIS-313-10880;ind2
IRIS-313-10881;admix
IRIS-313-10882;aus
IRIS-313-10883;admix
IRIS-313-10884;trop2
IRIS-313-10885;indx
IRIS-313-10886;trop2
IRIS-313-10887;indx
IRIS-313-10888;trop2
IRIS-313-10889;trop2
IRIS-313-10890;trop2
IRIS-313-10891;aus
IRIS-313-10892;aus
IRIS-313-10893;trop2
IRIS-313-10894;admix
IRIS-313-10895;trop2
IRIS-313-10896;admix
IRIS-313-10897;ind3
IRIS-313-10898;ind3
IRIS-313-10899;ind3
IRIS-313-10900;ind3
IRIS-313-10901;ind3
IRIS-313-10902;ind3
IRIS-313-10903;ind3
IRIS-313-10904;ind3
IRIS-313-10905;ind3
IRIS-313-10906;ind3
IRIS-313-10907;ind3
IRIS-313-10908;ind3
IRIS-313-10909;ind3
IRIS-313-10910;ind3
IRIS-313-10911;ind3
IRIS-313-10912;ind3
IRIS-313-10913;ind3
IRIS-313-10915;ind3
IRIS-313-10916;temp
IRIS-313-10917;indx
IRIS-313-10918;trop1
IRIS-313-10919;trop1
IRIS-313-10920;trop1
IRIS-313-10921;indx
IRIS-313-10922;trop2
IRIS-313-10923;trop2
IRIS-313-10924;indx
IRIS-313-10925;aus
IRIS-313-10926;aro
IRIS-313-10927;aus
IRIS-313-10928;ind3
IRIS-313-10929;ind2
IRIS-313-10930;aus
IRIS-313-10931;trop1
IRIS-313-10932;ind1A
IRIS-313-10933;aro
IRIS-313-10934;ind3
IRIS-313-10935;ind3
IRIS-313-10936;trop1
IRIS-313-10937;ind3
IRIS-313-10938;ind3
IRIS-313-10940;ind3
IRIS-313-10941;indx
IRIS-313-10942;ind3
IRIS-313-10943;ind3
IRIS-313-10944;ind3
IRIS-313-10945;trop1
IRIS-313-10946;trop1
IRIS-313-10947;ind3
IRIS-313-10948;admix
IRIS-313-10949;trop1
IRIS-313-10950;trop1
IRIS-313-10951;ind3
IRIS-313-10952;trop1
IRIS-313-10953;trop1
IRIS-313-10954;ind3
IRIS-313-10955;ind3
IRIS-313-10956;trop1
IRIS-313-10957;trop1
IRIS-313-10958;trop1
IRIS-313-10959;trop1
IRIS-313-10960;trop1
IRIS-313-10961;ind3
IRIS-313-10962;ind3
IRIS-313-10963;aus
IRIS-313-10964;aus
IRIS-313-10965;aus
IRIS-313-10966;indx
IRIS-313-10967;temp
IRIS-313-10968;ind1A
IRIS-313-10969;aus
IRIS-313-10970;ind3
IRIS-313-10971;ind2
IRIS-313-10972;ind2
IRIS-313-10973;ind2
IRIS-313-10974;ind2
IRIS-313-10975;ind2
IRIS-313-10976;aus
IRIS-313-10977;ind2
IRIS-313-10978;indx
IRIS-313-10979;aus
IRIS-313-10980;admix
IRIS-313-10981;aus
